HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,home_past_form1,home_past_form2,home_past_form3,away_past_form1,away_past_form2,away_past_form3,B365H,B365D,B365A
West Ham,Wolves,16.0,7.0,0.2413793103448276,0.3448275862068966,0.20689655172413793,0.4482758620689655,0.5517241379310345,0.20689655172413793,4.413793103448276,3.9655172413793105,1.0902255639097744,1.183673469387755,1.5387755102040817,0.8058188950637463,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.6,3.4,2.1
Bournemouth,Crystal Palace,18.0,11.0,0.2413793103448276,0.3448275862068966,0.20689655172413793,0.3103448275862069,0.5517241379310345,0.3448275862068966,3.3448275862068964,3.2413793103448274,0.8058188950637463,0.8285714285714286,1.2428571428571429,0.9006211180124224,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.45,3.2,3.0
Newcastle,Sheffield United,13.0,6.0,0.3103448275862069,0.3793103448275862,0.27586206896551724,0.3793103448275862,0.41379310344827586,0.2413793103448276,3.2758620689655173,3.2413793103448274,0.5688133376920562,0.7693877551020408,0.710204081632653,0.5688133376920562,2.0,0.0,1.0,2.0,1.0,2.0,1.0,3.3,3.1,2.37
Aston Villa,Chelsea,19.0,4.0,0.2413793103448276,0.4827586206896552,0.1724137931034483,0.20689655172413793,0.5862068965517241,0.3103448275862069,4.206896551724138,5.827586206896552,0.8532200065380844,1.716326530612245,1.420408163265306,1.1376266753841124,0.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,4.5,1.5
Everton,Liverpool,12.0,1.0,0.3448275862068966,0.9310344827586207,0.2413793103448276,0.034482758620689655,0.41379310344827586,0.034482758620689655,4.655172413793103,6.068965517241379,0.9006211180124224,1.5387755102040817,0.8877551020408163,0.4266100032690422,0.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,4.2,1.55
Man City,Burnley,2.0,10.0,0.6551724137931034,0.3793103448275862,0.10344827586206896,0.20689655172413793,0.2413793103448276,0.41379310344827586,6.931034482758621,3.586206896551724,1.7064400130761688,0.8285714285714286,0.710204081632653,0.9954233409610984,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.12,9.0,15.0
Leicester,Brighton,3.0,15.0,0.5333333333333333,0.23333333333333334,0.2,0.36666666666666664,0.26666666666666666,0.4,5.166666666666667,4.166666666666667,1.3333333333333333,0.8287292817679557,0.8287292817679557,1.1111111111111112,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.6,4.0,5.75
Tottenham,West Ham,8.0,17.0,0.36666666666666664,0.23333333333333334,0.3,0.2,0.3333333333333333,0.5666666666666667,4.433333333333334,4.333333333333333,1.2444444444444445,0.6629834254143646,0.883977900552486,1.0666666666666667,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.66,4.0,5.0
Man United,Sheffield United,5.0,7.0,0.4,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.26666666666666666,0.26666666666666666,5.733333333333333,3.1666666666666665,1.288888888888889,0.718232044198895,0.6629834254143646,0.6666666666666666,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.4,4.5,8.5
Newcastle,Aston Villa,13.0,19.0,0.3333333333333333,0.23333333333333334,0.26666666666666666,0.16666666666666666,0.4,0.6,3.433333333333333,4.2,0.6666666666666666,0.883977900552486,0.6629834254143646,1.4222222222222223,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.3,3.3,3.2
